run_id,type,parent,target,time-lag,training,emulated,delta
0,hallucinated,SAO,EAO,-2,,0.21407754839231471,
12,hallucinated,SAO,EAO,-1,,-0.2528720119143746,
13,hallucinated,NAO,CAR,-4,,0.14773943667495698,
15,hallucinated,BOB,EIO,-5,,0.08998161522023598,
16,missing,SOO,SOO,-1,0.0,,
16,hallucinated,SOO,SIO,-5,,-0.16106042933313144,
17,strength,NPO,NPO,-1,0.5253014305784536,0.4193319216351316,0.10596950894332197
19,hallucinated,NPO,MED,-2,,0.21648513172199957,
22,hallucinated,ARO,SIO,-4,,-0.021799814832889446,
23,hallucinated,BOB,BOB,-3,,0.13697232294315262,
25,hallucinated,NPO,SPO,-4,,-0.07160312721609083,
25,hallucinated,BOB,NAO,-5,,0.12462858604357667,
28,hallucinated,EPO,SAO,-4,,-0.05396943487865293,
29,hallucinated,SAO,SOO,-5,,0.13084541917613687,
